site,product,date,year,month,n_images,mean_cloud_pct
Tuz Lake,S2_SR,2024-06,2024,6,48,
Tuz Lake,S2_SR,2024-07,2024,7,54,
Tuz Lake,S2_SR,2024-08,2024,8,48,
Tuz Lake,S2_SR,2024-09,2024,9,48,
Tuz Lake,S2_SR,2024-10,2024,10,52,
Tuz Lake,S2_SR,2024-11,2024,11,48,
Tuz Lake,S2_SR,2024-12,2024,12,55,
Tuz Lake,S2_SR,2025-01,2025,1,48,
Tuz Lake,S2_SR,2025-02,2025,2,48,
Tuz Lake,S2_SR,2025-03,2025,3,60,
Tuz Lake,S2_SR,2025-04,2025,4,76,
Tuz Lake,S2_SR,2025-05,2025,5,78,
Tuz Lake,S2_SR,2025-06,2025,6,72,
Tuz Lake,S2_SR,2025-07,2025,7,74,
Tuz Lake,S2_SR,2025-08,2025,8,68,
Tuz Lake,S2_SR,2025-09,2025,9,67,
Tuz Lake,S2_SR,2025-10,2025,10,80,
Tuz Lake,S2_SR,2025-11,2025,11,72,
Tuz Lake,S2_SR,2025-12,2025,12,70,
Tuz Lake,S2_SR,2026-01,2026,1,56,
Tuz Lake,S2_SR,2026-02,2026,2,60,
Tuz Lake,S2_SR,2026-03,2026,3,72,
Tuz Lake,S2_SR,2026-04,2026,4,72,
Tuz Lake,S2_SR,2026-05,2026,5,72,
Tuz Lake,S1_GRD,2023-04,2023,4,15,
Tuz Lake,S1_GRD,2023-05,2023,5,15,
Tuz Lake,S1_GRD,2023-06,2023,6,15,
Tuz Lake,S1_GRD,2023-07,2023,7,15,
Tuz Lake,S1_GRD,2023-08,2023,8,15,
Tuz Lake,S1_GRD,2023-09,2023,9,15,
Tuz Lake,S1_GRD,2023-10,2023,10,15,
Tuz Lake,S1_GRD,2023-11,2023,11,15,
Tuz Lake,S1_GRD,2023-12,2023,12,16,
Tuz Lake,S1_GRD,2024-01,2024,1,17,
Tuz Lake,S1_GRD,2024-02,2024,2,13,
Tuz Lake,S1_GRD,2024-03,2024,3,17,
Tuz Lake,S1_GRD,2024-04,2024,4,15,
Tuz Lake,S1_GRD,2024-05,2024,5,15,
Tuz Lake,S1_GRD,2024-06,2024,6,15,
Tuz Lake,S1_GRD,2024-07,2024,7,14,
